ubicageo,cod_expe,cod_deli,delirie5,califica,gdo_cons,form_com,form_acc,modalida,elem_com,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"04002",1,579,401,2,1,1,1,1,3,9,3,4,"04002","09/09/1899","2","2"
"05010",2,580,402,2,1,1,1,3,3,9,3,5,"05018","22/09/2013","2","1"
"05010",3,581,708,2,1,1,1,1,1,0,3,5,"05018","10/01/2014","3","1"
"05010",3,582,105,1,1,1,1,1,1,0,3,5,"05018","10/01/2014","3","1"
"05010",4,583,401,1,1,1,1,2,1,9,3,5,"05018","26/01/2014","1","1"
"05010",5,584,101,2,1,1,2,3,2,9,3,5,"05018","08/02/2014","1","1"
"05010",6,585,101,1,1,1,1,9,1,9,3,5,"05018","10/02/2014","1","1"
"05010",7,586,420,2,1,1,2,9,1,9,3,5,"05018","27/06/2013","1","1"
"05010",8,587,101,1,1,1,1,1,4,0,3,5,"05006","27/01/2014","1","1"
"05010",9,588,420,2,1,1,2,2,1,9,3,5,"05018","14/02/2014","1","1"
"05010",10,589,420,2,1,1,2,3,1,9,3,5,"05018","30/08/2013","1","1"
"05010",11,590,402,2,1,1,1,2,1,9,3,5,"05018","10/02/2014","1","1"
"05010",12,591,301,2,1,1,1,9,1,9,3,5,"05018","04/07/2013","1","1"
"05010",13,592,402,2,1,1,1,2,1,9,3,5,"05018","14/01/2014","1","1"
"05010",14,593,101,2,1,1,2,2,1,9,3,5,"05018","19/02/2014","1","1"
"05010",15,594,605,2,1,1,1,2,1,9,3,5,"05018","20/02/2014","1","2"
"05010",16,595,105,2,1,1,2,2,1,9,3,5,"05018","02/12/2013","1","1"
"05010",16,596,420,2,1,1,2,2,1,9,3,5,"05018","02/12/2013","1","1"
"05010",17,597,420,2,1,1,2,2,1,9,3,5,"05018","01/06/2013","1","1"
"05010",18,598,101,2,1,1,2,2,1,9,3,99,"99999","09/09/1899","1","1"
"05010",19,599,401,2,1,1,1,9,1,9,3,5,"05018","26/02/2014","1","1"
"05010",19,600,710,2,1,1,1,9,1,9,3,5,"05018","26/02/2014","2","1"
"05010",20,601,105,2,1,1,2,2,1,9,3,5,"05018","12/03/2014","1","1"
"05010",20,602,420,2,1,1,2,2,1,9,3,5,"05018","12/03/2014","1","2"
"05010",21,603,401,1,1,1,1,1,3,9,3,5,"05018","21/02/2014","2","2"
"05010",22,604,401,1,1,1,1,9,3,9,3,99,"99999","09/09/1899","1","2"
"05010",23,605,401,1,1,1,1,3,3,1,3,5,"05018","06/02/2014","2","1"
"05010",24,606,402,1,1,1,1,2,1,9,3,5,"05018","19/03/2014","1","1"
"05010",25,607,401,2,1,1,1,2,1,9,3,5,"05010","18/03/2014","1","1"
"05010",26,608,402,2,1,1,1,9,3,9,3,5,"05018","19/03/2014","1","1"
"05010",27,609,401,2,1,1,1,2,1,9,3,5,"05018","19/03/2014","1","1"
"05010",28,610,401,1,1,1,1,2,3,2,3,5,"05018","23/03/2014","1","1"
"05010",29,611,305,1,1,1,1,2,3,9,3,5,"05006","02/10/2013","1","1"
"05010",30,612,402,2,1,1,1,2,3,9,3,5,"05018","26/03/2014","1","1"
"05010",31,613,414,2,1,1,1,2,1,9,3,99,"99999","09/09/1899","3","1"
"05010",32,614,401,2,1,1,1,2,3,9,3,5,"05018","18/03/2014","1","1"
"05010",33,615,105,2,1,1,1,1,1,0,3,99,"99999","20/03/2014","1","1"
