ubicageo,cod_expe,cod_deli,delirie5,califica,gdo_cons,form_com,form_acc,modalida,elem_com,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"05010",330,389,420,2,1,1,2,2,1,9,3,5,"05018","01/06/2013","1","1"
"05010",331,255,401,2,1,1,1,9,1,9,3,5,"05018","26/02/2014","2","1"
"05010",331,440,411,2,1,1,1,9,1,9,9,5,"05018","26/02/2014","3","1"
"07089",468,340,105,2,1,1,1,3,1,9,3,7,"07089","17/06/2014","1","1"
"07101",469,341,420,2,1,1,1,3,2,9,2,7,"07101","11/12/2013","1","1"
"07101",470,342,701,2,1,1,1,2,1,9,1,7,"07017","01/06/2014","1","1"
"10005",332,256,101,1,1,1,1,4,1,2,1,10,"10005","02/03/2012","2","1"
"10005",333,257,207,1,1,1,1,3,4,2,1,10,"10005","04/03/2012","2","1"
"10005",334,258,401,1,1,1,2,3,4,2,1,10,"10005","30/11/2013","1","1"
"10005",335,259,401,1,1,1,1,3,4,2,1,10,"10005","12/06/2013","1","1"
"10005",336,260,401,2,1,1,1,3,4,2,1,10,"10005","03/05/2014","1","2"
"10005",337,261,301,1,1,1,2,3,3,2,1,10,"10005","04/01/2014","1","1"
"10005",338,262,301,1,1,1,1,1,3,2,1,10,"10005","23/10/2012","1","1"
"10005",339,263,101,1,1,1,1,4,1,2,1,10,"10005","20/11/2012","1","1"
"10005",340,264,105,2,1,2,2,1,4,2,1,10,"10005","07/09/2011","1","1"
"10005",341,265,105,1,1,1,1,3,4,2,1,10,"10005","05/10/2012","1","1"
"10005",341,266,305,1,1,1,1,3,3,2,1,10,"10005","05/10/2012","1","1"
"10005",342,267,420,2,1,2,2,1,4,2,1,10,"10005","27/04/2013","1","1"
"10005",343,268,101,1,1,1,1,4,1,2,1,10,"10005","19/05/2013","1","2"
"10005",344,269,401,2,1,1,2,3,0,2,1,10,"10005","19/05/2013","1","1"
"10005",345,270,305,1,1,1,1,3,4,2,1,10,"10005","01/06/2013","1","1"
"10005",346,271,207,1,1,1,1,4,4,2,1,10,"10005","16/08/2013","1","1"
"10005",347,272,101,1,1,1,1,3,2,2,1,10,"10005","28/09/2013","1","1"
