ubicageo,cod_expe,cod_deli,delirie6,califica,gdo_cons,form_com,form_acc,modalida,elemcomi,concurso,clasific,ent_ocur,muniocur,fec_ocur,totalca1,totalca2
"01001",1,1,1010,1,1,1,1,4,2,9,9,99,"99999","02/01/2017","1","1"
"01001",2,2,8080,2,1,1,9,1,9,9,9,99,"99999","09/01/2018","1","1"
"01001",3,3,1010,1,1,1,9,3,9,9,9,99,"99999","06/07/2016","1","1"
"01001",4,4,4010,1,1,1,9,4,9,9,9,99,"99999","19/01/2018","2","1"
"01001",5,5,4210,2,1,2,9,9,9,1,9,99,"99999","07/02/2018","1","2"
"01001",5,6,1010,2,1,2,9,9,9,1,9,99,"99999","07/02/2018","1","1"
"01001",5,7,1040,2,1,2,9,9,9,1,9,99,"99999","07/02/2018","1","1"
"01001",6,8,1010,1,1,1,1,3,9,2,9,99,"99999","08/03/2017","4","1"
"01001",7,9,1010,1,1,1,9,9,9,9,9,99,"99999","07/02/2018","1","1"
"01001",8,10,4010,1,1,1,9,4,9,9,9,99,"99999","16/02/2018","1","1"
"01001",9,11,1010,2,1,1,1,4,2,9,9,99,"99999","24/03/2017","1","1"
"01001",10,12,3010,1,1,1,9,3,9,9,9,99,"99999","19/02/2018","1","1"
"01001",10,13,3040,1,1,1,9,9,9,9,9,99,"99999","19/02/2018","1","1"
"01001",11,14,4010,1,1,1,1,3,9,2,9,99,"99999","10/04/2017","1","1"
"01001",11,15,2060,1,1,1,1,3,9,2,9,99,"99999","10/04/2017","1","1"
"01001",12,16,5020,2,1,9,9,9,9,9,9,99,"99999","17/04/2017","1","1"
"01001",13,17,1010,1,1,1,9,3,9,9,9,99,"99999","20/04/2017","1","1"
"01001",14,18,1010,1,1,1,1,3,9,9,9,99,"99999","26/04/2017","1","1"
"01001",15,19,4010,1,1,1,9,4,9,9,9,99,"99999","13/03/2018","2","1"
"01001",16,20,3040,1,1,1,9,3,9,9,9,99,"99999","20/03/2018","1","1"
"01001",17,21,1010,1,1,1,9,4,9,9,9,99,"99999","21/05/2017","1","1"
"01001",18,22,3040,1,1,1,9,4,9,9,9,99,"99999","31/05/2017","1","1"
"01001",19,23,4010,1,1,9,9,4,9,9,9,99,"99999","02/04/2018","1","1"
"01001",20,24,4010,1,1,1,9,4,9,9,9,99,"99999","07/06/2017","1","1"
"01001",21,25,1040,2,1,1,1,3,9,9,9,99,"99999","09/04/2018","1","2"
"01001",22,26,4010,1,1,1,9,4,9,9,9,99,"99999","06/04/2018","1","1"
"01001",23,27,1010,1,1,1,1,4,2,9,9,99,"99999","19/06/2017","1","1"
