ubicgeob,cod_expe,cod_deli,delirie8,califdel,gdoconsu,formcomi,formacci,tipmodal,ele_comi,ticoncur,ticlasif,entiocur,munocurr,fec_ocur,totalca1,totalca2
"01001",1,1,40600,2,1,2,3,6,7,0,4,1,"01001","03/01/2019","1","2"
"01001",1,2,10400,2,1,2,3,6,7,0,4,1,"01001","03/01/2019","1","2"
"01001",2,3,10100,2,1,2,3,6,0,0,1,1,"01001","25/06/2016","1","1"
"01001",3,4,60101,1,1,1,3,6,7,2,4,1,"01001","11/01/2018","1","4"
"01001",3,5,20200,1,1,1,3,6,7,2,4,1,"01001","11/01/2018","2","4"
"01001",3,6,30400,1,1,1,3,6,7,2,1,1,"01001","11/01/2018","1","4"
"01001",4,7,40100,1,1,1,3,4,7,0,4,1,"01001","19/01/2018","2","1"
"01001",5,8,40100,1,1,1,3,4,7,0,4,1,"01001","24/01/2018","1","1"
"01001",6,9,90100,2,1,1,3,6,7,0,4,1,"01001","14/01/2019","1","1"
"01001",6,10,10400,2,1,1,3,4,7,0,4,1,"01001","14/01/2019","1","2"
"01001",7,11,10100,1,1,1,1,4,2,0,1,1,"01001","11/10/2016","1","1"
"01001",7,12,10400,1,1,1,1,4,2,0,4,1,"01001","11/10/2016","1","1"
"01001",8,13,40600,2,1,2,3,6,7,1,4,1,"01001","07/02/2018","1","2"
"01001",8,14,10100,2,1,2,3,6,7,1,1,1,"01001","07/02/2018","1","1"
"01001",8,15,10400,2,1,2,3,6,7,1,4,1,"01001","07/02/2018","1","1"
"01001",9,16,10100,1,1,1,1,3,7,2,1,1,"01001","08/03/2017","4","1"
"01001",10,17,70100,3,3,3,3,6,7,3,4,1,"01001","19/01/2019","1","1"
"01001",12,19,10100,1,1,1,3,4,7,0,1,1,"01001","23/02/2018","2","1"
"01001",13,20,10100,1,1,1,1,6,7,0,1,1,"01001","20/02/2018","1","1"
"01001",14,21,10100,1,1,1,1,4,7,0,1,1,"01001","18/05/2017","1","1"
"01001",15,22,40100,1,1,1,3,4,7,0,4,1,"01001","02/04/2018","1","1"
"01001",16,23,40100,2,1,1,3,6,7,0,4,1,"01001","08/02/2019","1","1"
"01001",17,24,90100,1,1,1,3,6,7,2,4,1,"01001","06/04/2018","1","1"
"01001",17,25,40700,1,1,1,3,6,7,2,4,1,"01001","06/04/2018","1","1"
"01001",17,26,10400,1,1,1,3,6,7,2,4,1,"01001","06/04/2018","1","1"
"01001",18,27,40100,1,1,1,3,4,7,0,4,1,"01001","06/04/2018","1","1"
"01001",19,28,40100,2,1,1,3,1,7,0,4,1,"01001","17/04/2018","1","1"
"01001",20,29,40100,2,1,1,3,4,7,0,4,1,"01001","14/02/2019","1","1"
"01001",21,30,40600,2,1,1,3,6,7,0,4,1,"01001","14/02/2019","1","1"
"01001",21,31,20100,1,1,1,3,6,7,0,4,1,"01001","14/02/2019","1","1"
"01001",21,32,30400,1,1,1,3,6,7,0,1,1,"01001","14/02/2019","1","1"
"01001",22,33,10100,2,1,2,3,6,7,1,1,1,"01001","03/05/2018","1","1"
"01001",22,34,10400,1,1,2,3,6,7,1,4,1,"01001","03/05/2018","1","4"
"01001",23,35,50200,2,1,1,3,6,7,0,4,1,"01001","19/02/2019","1","1"
"01001",24,36,40100,1,1,1,3,6,7,0,4,1,"01001","11/05/2018","1","1"
"01001",25,37,10400,1,1,1,1,6,2,0,4,1,"01001","09/08/2017","1","1"
"01001",26,38,60101,1,1,1,1,4,7,2,4,1,"01001","18/05/2018","1","1"
"01001",26,39,10400,2,1,1,1,4,1,2,4,1,"01001","18/05/2018","1","1"
"01001",26,40,30400,1,1,1,1,4,7,2,1,1,"01001","18/05/2018","1","1"
"01001",27,41,10100,2,1,2,3,6,7,0,1,1,"01001","28/02/2019","1","2"
"01001",28,42,10100,1,1,1,3,3,7,0,1,1,"01001","27/05/2018","1","1"
"01001",29,43,20600,1,1,1,3,6,7,0,4,1,"01001","27/08/2017","1","2"
"01001",30,44,50200,2,1,1,3,6,0,0,4,1,"01001","04/06/2018","1","2"
"01001",31,45,40100,2,1,1,3,4,0,0,4,1,"01001","07/03/2019","1","1"
"01001",32,46,40300,1,1,1,3,6,7,0,4,1,"01001","07/06/2018","2","1"
"01001",33,47,10100,1,1,1,3,6,7,0,1,1,"01001","08/03/2019","2","1"
"01001",33,48,10200,1,1,1,3,6,7,0,1,1,"01001","08/03/2019","2","1"
"01001",34,49,40100,2,1,1,3,3,7,0,4,1,"01001","08/06/2018","1","1"
"01001",35,50,70105,1,1,1,3,2,7,0,4,1,"01001","08/06/2018","1","1"
"01001",36,51,40100,1,1,1,1,3,2,1,4,1,"01001","08/06/2018","1","1"
"01001",37,52,10100,1,1,1,1,3,2,0,1,1,"01001","11/06/2018","3","1"
"01001",38,53,40400,2,1,1,3,1,2,0,4,1,"01001","11/06/2018","2","1"
"01001",39,54,50200,2,1,1,3,3,0,0,4,1,"01001","11/06/2018","1","1"
"01001",40,55,40100,2,1,1,3,4,7,0,4,1,"01001","15/06/2018","2","1"
"01001",41,56,40100,2,1,1,3,4,7,0,4,1,"01001","15/06/2018","1","1"
"01001",42,57,30400,1,1,1,3,6,7,0,1,1,"01001","22/09/2017","1","1"
"01001",43,58,30400,1,1,1,1,4,0,0,1,1,"01001","21/06/2018","1","1"
"01001",44,59,40100,2,1,1,3,6,7,0,4,1,"01001","20/03/2019","1","1"
"01001",45,60,10400,2,1,1,3,6,7,1,4,1,"01001","22/03/2019","1","1"
"01001",46,61,30700,1,1,1,3,6,7,0,4,1,"01001","04/10/2017","1","1"
"01001",47,62,90100,1,1,1,3,3,7,0,4,1,"01001","04/07/2018","1","1"
"01001",47,63,30400,1,1,1,3,3,7,0,1,1,"01001","04/07/2018","1","1"
"01001",48,64,40100,2,1,1,3,4,7,0,4,1,"01001","13/07/2018","1","1"
"01001",49,65,40100,2,1,1,3,6,7,1,4,1,"01001","01/04/2019","1","1"
"01001",50,66,50200,2,1,1,3,6,7,0,4,1,"01001","19/07/2018","1","2"
"01001",51,67,40100,2,1,1,3,6,7,0,4,1,"01001","15/04/2019","1","2"
"01001",52,68,40114,2,1,1,3,4,7,0,4,1,"01001","23/07/2018","2","1"
"01001",53,69,70100,2,1,1,3,6,7,0,4,1,"01001","31/07/2018","1","1"
"01001",54,70,40100,2,1,1,3,4,7,0,4,1,"01001","03/08/2018","1","1"
"01001",55,71,30700,2,1,1,3,6,7,0,4,1,"01001","06/08/2018","1","1"
"01001",56,72,10100,1,1,1,1,4,7,0,1,1,"01001","07/08/2018","2","1"
"01001",57,73,40100,2,1,1,3,6,7,0,4,1,"01001","01/05/2019","1","1"
"01001",58,74,50200,2,1,1,3,1,7,0,4,1,"01001","18/12/2017","1","1"
"01001",59,75,30700,1,1,1,3,6,7,0,4,1,"01001","18/12/2017","1","1"
"01001",60,76,90100,2,1,1,3,6,7,0,4,1,"01001","06/05/2019","1","2"
"01001",60,77,40600,2,1,1,3,6,7,0,4,1,"01001","06/05/2019","1","2"
"01001",61,78,10100,1,1,1,3,4,7,0,1,1,"01001","16/08/2018","2","1"
"01001",62,79,40100,2,1,1,3,1,7,0,4,1,"01001","17/08/2018","1","1"
"01001",63,80,70100,2,1,1,3,6,7,0,4,1,"01001","13/05/2019","1","1"
"01001",64,81,40600,2,1,2,3,6,7,0,4,1,"01001","15/05/2019","1","1"
"01001",65,82,40400,2,1,1,3,6,7,0,4,1,"01001","23/05/2019","1","1"
"01001",66,83,10100,1,1,1,1,4,7,0,1,1,"01001","03/09/2018","1","1"
"01001",67,84,50200,2,1,1,3,1,7,0,4,1,"01001","04/09/2018","1","2"
"01001",68,85,10100,1,1,1,3,6,7,0,1,1,"01001","15/09/2018","2","1"
"01001",69,86,30400,1,1,1,3,6,7,0,1,1,"01001","24/09/2018","1","1"
"01001",70,87,40600,2,1,2,3,1,7,0,4,1,"01001","02/10/2018","1","2"
"01001",70,88,10400,2,1,2,3,1,7,0,4,1,"01001","02/10/2018","1","2"
"01001",71,89,30400,1,1,1,3,6,7,0,1,1,"01001","04/10/2018","1","1"
"01001",72,90,40600,2,1,3,3,6,7,0,4,1,"01001","08/10/2018","1","3"
"01001",72,91,10400,2,1,3,3,6,7,0,4,1,"01001","08/10/2018","1","3"
"01001",73,92,30400,1,1,1,3,6,7,0,1,1,"01001","10/10/2018","1","1"
"01001",74,93,40600,2,1,1,3,1,0,0,4,1,"01001","19/10/2018","1","1"
"01001",74,94,10400,2,1,2,3,1,0,0,4,1,"01001","19/10/2018","1","1"
"01001",75,95,10100,1,1,3,3,6,7,0,1,1,"01001","20/10/2018","1","2"
"01001",76,96,10100,2,1,2,3,6,7,0,1,1,"01001","23/10/2018","1","1"
"01001",77,97,30700,1,1,1,3,6,7,0,4,1,"01001","24/10/2018","1","1"
"01001",77,98,30400,1,1,1,3,6,7,0,1,1,"01001","24/10/2018","1","1"
"01001",78,99,40100,1,1,1,3,6,7,0,4,1,"01001","27/10/2018","2","1"
"01001",79,100,40100,1,1,1,3,6,7,0,4,1,"01001","29/10/2018","1","1"
"01001",80,101,30700,1,1,1,3,6,7,0,4,1,"01001","31/10/2018","1","1"
"01001",80,102,30400,1,1,1,3,6,7,0,1,1,"01001","31/10/2018","1","1"
"01001",81,103,10400,1,2,2,3,6,7,0,4,1,"01001","31/10/2018","1","1"
"01001",82,104,10100,1,1,3,3,6,7,0,1,1,"01001","05/11/2018","1","1"
"01001",83,105,50100,1,1,1,1,6,7,0,4,1,"01001","08/11/2018","1","1"
"01001",84,106,20300,1,1,1,3,6,7,0,4,1,"01001","09/11/2018","1","1"
"01001",84,107,30400,1,1,1,3,6,7,0,1,1,"01001","09/11/2018","1","1"
"01001",85,108,70100,1,1,1,1,3,2,1,4,1,"01001","14/11/2018","1","1"
"01001",86,109,40600,2,1,2,3,6,0,0,4,1,"01001","15/11/2018","1","1"
"01001",86,110,10400,2,1,2,3,6,0,0,4,1,"01001","15/11/2018","1","1"
"01001",87,111,40100,1,1,1,3,6,7,0,4,1,"01001","19/11/2018","3","2"
"01001",88,112,40100,1,1,1,3,4,7,1,4,1,"01001","26/11/2018","1","2"
"01001",89,113,10200,1,2,1,1,1,7,0,1,1,"01001","28/11/2018","1","1"
"01001",90,114,40300,2,1,1,3,1,0,0,4,1,"01001","03/12/2018","1","3"
"01001",91,115,30400,1,1,1,2,1,7,0,1,1,"01001","03/12/2018","1","1"
"01001",92,116,10100,1,1,1,1,4,7,0,1,1,"01001","22/12/2018","2","1"
"01001",92,117,10400,1,1,1,1,4,7,0,4,1,"01001","22/12/2018","2","1"
"01001",93,118,70100,2,1,1,3,6,7,0,4,1,"01001","22/12/2018","1","1"
"01001",94,119,10400,1,1,1,1,4,7,0,4,1,"01001","25/12/2018","1","1"
"01003",95,120,70100,3,3,3,3,6,0,3,4,1,"01003","02/03/2019","1","1"
"01003",96,121,70100,3,3,3,3,6,0,3,4,1,"01003","07/03/2019","1","1"
"01003",97,122,70100,2,1,1,3,2,0,1,4,1,"01003","08/03/2019","1","1"
"01003",98,123,10100,1,1,1,1,3,0,1,1,1,"01001","16/12/2018","2","1"
"01003",99,124,60101,1,1,1,3,6,7,1,4,1,"01003","25/12/2018","1","2"
"01005",100,125,20600,1,1,1,3,6,7,0,4,1,"01001","08/01/2018","2","2"
"01005",101,126,40400,2,1,1,3,6,0,0,4,1,"01001","18/01/2018","2","1"
"01005",102,127,20600,1,1,1,3,6,7,0,4,1,"01001","29/01/2018","1","1"
"01005",103,128,40100,1,1,1,3,4,7,0,4,1,"01005","13/02/2018","1","1"
"01005",104,129,40600,2,1,2,3,6,7,2,4,1,"01001","26/03/2018","1","1"
"01005",104,130,10100,2,1,2,3,6,7,2,1,1,"01001","26/03/2018","1","1"
"01005",104,131,10400,2,1,2,3,6,7,2,4,1,"01001","26/03/2018","1","5"
"01005",105,132,30700,1,1,1,3,6,0,1,4,1,"01005","28/01/2019","1","1"
"01005",106,133,10100,2,1,2,3,6,7,1,1,1,"01005","13/04/2018","1","1"
"01005",107,134,40100,2,1,1,3,4,7,0,4,1,"01005","04/06/2018","1","1"
