"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"1","01001",7010,NA,"2017","control","- Narcomenudeo"
"2","01001",7010,NA,"2017","control","- Narcomenudeo"
"3","01001",7010,NA,"2017","control","- Narcomenudeo"
"4","01001",7010,NA,"2017","control","- Narcomenudeo"
"5","01001",7010,NA,"2017","control","- Narcomenudeo"
"6","01001",7010,NA,"2017","control","- Narcomenudeo"
"7","01001",7010,NA,"2017","control","- Narcomenudeo"
"8","01001",7010,NA,"2017","control","- Narcomenudeo"
"9","01001",7010,NA,"2017","control","- Narcomenudeo"
"10","01001",7010,NA,"2017","control","- Narcomenudeo"
"11","01001",7010,NA,"2017","control","- Narcomenudeo"
"12","01001",7010,NA,"2017","control","- Narcomenudeo"
"13","01001",7010,NA,"2017","control","- Narcomenudeo"
"14","01001",7010,NA,"2017","control","- Narcomenudeo"
"15","01001",7010,NA,"2017","control","- Narcomenudeo"
"16","01001",7010,NA,"2017","control","- Narcomenudeo"
"17","01001",7010,NA,"2017","control","- Narcomenudeo"
"18","01001",7010,NA,"2017","control","- Narcomenudeo"
"19","01001",7010,NA,"2017","control","- Narcomenudeo"
"20","01001",7010,NA,"2017","control","- Narcomenudeo"
"21","01001",7010,NA,"2017","control","- Narcomenudeo"
"22","01001",7010,NA,"2017","control","- Narcomenudeo"
"23","01001",7010,NA,"2017","control","- Narcomenudeo"
"24","01001",7010,NA,"2017","control","- Narcomenudeo"
"25","01001",7010,NA,"2017","control","- Narcomenudeo"
"26","01001",7010,NA,"2017","control","- Narcomenudeo"
"27","01001",7010,NA,"2017","control","- Narcomenudeo"
"28","01001",7010,NA,"2017","control","- Narcomenudeo"
"29","01001",7010,NA,"2017","control","- Narcomenudeo"
"30","01001",7010,NA,"2017","control","- Narcomenudeo"
"31","01001",7010,NA,"2017","control","- Narcomenudeo"
"32","01001",7010,NA,"2017","control","- Narcomenudeo"
"33","01001",3040,NA,"2017","control","- Violación"
"34","01001",7010,NA,"2017","control","- Narcomenudeo"
"35","01001",7010,NA,"2017","control","- Narcomenudeo"
"36","01001",7010,NA,"2017","control","- Narcomenudeo"
"37","01001",7010,NA,"2017","control","- Narcomenudeo"
"38","01001",1010,1,"2018","control","- Homicidio"
"39","01001",7010,1,"2018","control","- Narcomenudeo"
"40","01001",1010,2,"2018","control","- Homicidio"
"41","01001",1010,2,"2018","control","- Homicidio"
"42","01001",7010,1,"2018","control","- Narcomenudeo"
"43","01001",7010,1,"2018","control","- Narcomenudeo"
"44","01001",7010,1,"2018","control","- Narcomenudeo"
"45","01001",5010,1,"2018","control","- Violencia familiar"
"46","01001",7010,1,"2018","control","- Narcomenudeo"
"47","01001",7010,1,"2018","control","- Narcomenudeo"
"48","01001",7010,1,"2018","control","- Narcomenudeo"
"49","01001",7010,1,"2018","control","- Narcomenudeo"
"50","01001",7010,2,"2018","control","- Narcomenudeo"
"51","01001",7010,1,"2018","control","- Narcomenudeo"
"52","01001",7010,1,"2018","control","- Narcomenudeo"
"53","01001",7010,1,"2018","control","- Narcomenudeo"
"54","01001",7010,1,"2018","control","- Narcomenudeo"
"55","01001",1010,1,"2018","control","- Homicidio"
"56","01001",7010,1,"2018","control","- Narcomenudeo"
"57","01001",7010,1,"2018","control","- Narcomenudeo"
"58","01001",7010,1,"2018","control","- Narcomenudeo"
"59","01001",7010,1,"2018","control","- Narcomenudeo"
"60","01001",2060,2,"2018","control","- Secuestro"
"61","01001",7010,1,"2018","control","- Narcomenudeo"
"62","01001",7010,1,"2018","control","- Narcomenudeo"
"63","01001",7010,1,"2018","control","- Narcomenudeo"
"64","01001",7010,1,"2018","control","- Narcomenudeo"
"65","01001",7010,1,"2018","control","- Narcomenudeo"
"66","01001",7010,1,"2018","control","- Narcomenudeo"
"67","01001",7010,1,"2018","control","- Narcomenudeo"
"68","01001",7010,1,"2018","control","- Narcomenudeo"
"69","01001",7010,1,"2018","control","- Narcomenudeo"
"70","01001",7010,1,"2018","control","- Narcomenudeo"
"71","01001",7010,1,"2018","control","- Narcomenudeo"
"72","01001",7010,1,"2018","control","- Narcomenudeo"
"73","01001",7010,1,"2018","control","- Narcomenudeo"
"74","01001",5010,1,"2018","control","- Violencia familiar"
"75","01001",7010,1,"2018","control","- Narcomenudeo"
"76","01001",7010,1,"2018","control","- Narcomenudeo"
"77","01001",7010,1,"2018","control","- Narcomenudeo"
"78","01001",1010,4,"2018","control","- Homicidio"
"79","01001",7010,1,"2018","control","- Narcomenudeo"
"80","01001",7010,1,"2018","control","- Narcomenudeo"
"81","01001",1010,1,"2018","control","- Homicidio"
"82","01001",7010,1,"2018","control","- Narcomenudeo"
"83","01001",7010,1,"2018","control","- Narcomenudeo"
"84","01001",7010,1,"2018","control","- Narcomenudeo"
