"","ubicgeo","cod_delito","total_procesados","anio","sistema","concepto"
"1","01001",5010,4,"2016","tradicional","- Violencia familiar"
"2","01001",5010,1,"2016","tradicional","- Violencia familiar"
"3","01001",5010,3,"2016","tradicional","- Violencia familiar"
"4","01001",5010,8,"2016","tradicional","- Violencia familiar"
"5","01001",5010,1,"2016","tradicional","- Violencia familiar"
"6","01001",5010,8,"2016","tradicional","- Violencia familiar"
"7","01001",5010,1,"2016","tradicional","- Violencia familiar"
"8","01001",5010,1,"2016","tradicional","- Violencia familiar"
"9","01001",5010,1,"2016","tradicional","- Violencia familiar"
"10","01001",5010,1,"2016","tradicional","- Violencia familiar"
"11","01001",5010,1,"2016","tradicional","- Violencia familiar"
"12","01001",5010,1,"2016","tradicional","- Violencia familiar"
"13","01001",5010,1,"2016","tradicional","- Violencia familiar"
"14","01001",5010,1,"2016","tradicional","- Violencia familiar"
"15","01001",5010,2,"2016","tradicional","- Violencia familiar"
"16","01001",5010,1,"2016","tradicional","- Violencia familiar"
"17","01001",5010,1,"2016","tradicional","- Violencia familiar"
"18","01001",5010,1,"2016","tradicional","- Violencia familiar"
"19","01001",5010,1,"2016","tradicional","- Violencia familiar"
"20","01001",5010,1,"2016","tradicional","- Violencia familiar"
"21","01001",5010,1,"2016","tradicional","- Violencia familiar"
"22","01001",5010,1,"2016","tradicional","- Violencia familiar"
"23","01001",5010,4,"2016","tradicional","- Violencia familiar"
"24","01001",5010,4,"2016","tradicional","- Violencia familiar"
"25","01001",5010,1,"2016","tradicional","- Violencia familiar"
"26","01001",5010,1,"2016","tradicional","- Violencia familiar"
"27","01001",5010,1,"2016","tradicional","- Violencia familiar"
"28","01001",5010,1,"2016","tradicional","- Violencia familiar"
"29","01001",5010,1,"2016","tradicional","- Violencia familiar"
"30","01001",5010,1,"2016","tradicional","- Violencia familiar"
"31","01001",5010,1,"2016","tradicional","- Violencia familiar"
"32","01001",5010,1,"2016","tradicional","- Violencia familiar"
"33","01001",5010,1,"2016","tradicional","- Violencia familiar"
"34","01001",5010,1,"2016","tradicional","- Violencia familiar"
"35","01001",5010,2,"2016","tradicional","- Violencia familiar"
"36","01001",5010,2,"2016","tradicional","- Violencia familiar"
"37","01001",5010,1,"2016","tradicional","- Violencia familiar"
"38","01001",5010,1,"2016","tradicional","- Violencia familiar"
"39","01001",5010,1,"2016","tradicional","- Violencia familiar"
"40","01001",5010,1,"2016","tradicional","- Violencia familiar"
"41","01001",5010,1,"2016","tradicional","- Violencia familiar"
"42","01001",5010,3,"2016","tradicional","- Violencia familiar"
"43","01001",5010,1,"2016","tradicional","- Violencia familiar"
"44","01001",5010,1,"2016","tradicional","- Violencia familiar"
"45","01001",5010,1,"2016","tradicional","- Violencia familiar"
