id_carpeta,carpeta,delito,fecha,sintesis,juzgado,exp_jud,fecha_proceso,fecha_sentencia,municipio,id_exp_jud,tiempo_carp_proceso,tiempo_proceso_sentencia,tiempo_carp_sentencia,repeticiones,violacion,violencia_familiar,violacion_violencia
00004,CI/JMA/00004/01-21,Violencia familiar,2021-01-04,"VIOLENCIA FAMILIAR, SU EX ESPOSO QUEMÓ MUEBLES Y LA AGREDIO. PR1 (IDENTIFICADO).",NA,NA,NA,NA,JMA,NA,NA,NA,NA,1,0,1,0
00005,CI/JMA/00005/01-20,Violencia familiar,2020-01-02,"VIOLENCIA FAMILIAR, REFIERE EL DENUNCIANTE QUE SU PAPÁ Y SUS HERMANOS GOLPEARON A SU ESPOSA, SU HIJA, SU HERMANA Y A EL, PR3 (IDENTIFICADOS)",NA,NA,NA,NA,JMA,NA,NA,NA,NA,2,0,1,0
00005,CI/TEP/00005/01-21,Violencia familiar,2021-01-25,VIOLENCIA FAMILIAR- LA DENUNCIANTE REFIERE QUE SU ESPOSO EJERCE VIOLENCIA FISICA Y VERBAL SOBRE ELLA. QRR.,NA,NA,NA,NA,TEP,NA,NA,NA,NA,2,0,1,0
00006,CI/CAL/00006/01-20,Violencia familiar,2020-01-03,"VIOLENCIA FAMILIAR, DENUNCIANTE SEÑALA QUE EL PADRE DE SU HIJA MENOR TIENE LA GUARDIA Y CUSTODIA DE LA MISMA, EL CUAL LE A PRODUCIDO LESIONES. PR1 (IDENTIFICADO).",Juz. de Oralidad del II Partido Judicial en Calv.,0052/20,2021-11-03,NA,CAL,0052,670,NA,NA,3,0,1,0
00006,CI/TEP/00006/01-21,Violencia familiar,2021-01-26,VIOLENCIA FAMILIAR.  LA DENUNCIANTE ES AGREDIDA POR EL P.R.  Q.R.R.,NA,NA,NA,NA,TEP,NA,NA,NA,NA,3,0,1,0
00006,CI/SJG/00006/01-22,Violencia familiar,2022-01-06,VIOLENCIA FAMILIAR- LA OFENDIDA REFIERE SER VICTIMA DE AGRESIONES FISCAS Y VERBALES POR PARTE DE SU ESPOSO-PR1(IDENTIFICADO).,NA,NA,NA,NA,SJG,NA,NA,NA,NA,3,0,1,0
00007,CI/JMA/00007/01-20,Violencia familiar,2020-01-03,"VIOLENCIA FAMILIAR, EL PR SOMETE A SU HIJA CON UNA NAVAJA EN EL ABDOMEN. PR1 (IDENTIFICADO).",NA,NA,NA,NA,JMA,NA,NA,NA,NA,5,1,1,1
00007,CI/AGS/00007/01-21,Violación,2021-01-01,VIOLACION- PR1 (DETENIDO).,Juz. de Oralidad del III Partido Judicial en Pab.,0001/21,2021-01-02,2022-06-17,AGS,0001,1,531,532,5,1,1,1
00007,CI/AGS/00007/01-21,Violación,2021-01-01,VIOLACION- PR1 (DETENIDO).,Unidad de Gestión de los Juzgados de Ejecución,0360/22,2022-06-30,NA,AGS,0360,545,NA,NA,5,1,1,1
00007,CI/AGS/00007/01-22,Violencia familiar,2022-01-01,"VIOLENCIA FAMILIAR< DENUNCIANTE MENCIONA QUE SUFRE DE AGRESIONES FISICAS POR PARTE DE SU ESPOSO, PR1 (DETENIDO).",NA,NA,NA,NA,AGS,NA,NA,NA,NA,5,1,1,1
