"indice","observaciones","partido","juzgado","fecha_presenta","delito","fecha_audiencia_intermedia","fecha_concluye_intermedia","fecha_abreviado","fecha_apertura_juicio","fecha_juicio","fecha_concluye_juicio","sentido_sentencia","apela1","fecha1","contra1","concluye1","apela2","fecha2","contra2","concluye2","apela3","fecha3","contra3","concluye3","year_presenta","dias_presenta_intermedia","dias_presenta_abreviado","dias_intermedia_abreviado","dias_intermedia_apertura_juicio","dias_aperturaJuicio_juicio","dias_juicio_concluyeJuicio","dias_presenta_apela1","dias_intermedia_apela1","dias_abreviado_apela1","dias_aperturaJuicio_apela1","dias_juicio_apela1","dias_concluyeJuicio_apela1","dias_apela1_apela2","dias_apela2_apela3","dias_presenta_concluyeJuicio"
1,NA,1,"ORALIDAD AGUASCALIENTES",2016-09-09,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,1,"ORALIDAD AGUASCALIENTES",2016-11-07,"VIOLENCIA FAMILIAR",2017-05-08,NA,NA,NA,NA,NA,NA,"SI",2017-12-13,"Sobreseimiento","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2016,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,1,"ORALIDAD AGUASCALIENTES",2017-01-13,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,"SI",2017-01-17,"Medias cautelares","Sin materia","SI",2017-02-14,"Conceder Suspensión Condicional del Proceso","Desistimientp",NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA
4,NA,1,"ORALIDAD AGUASCALIENTES",2017-03-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,1,"ORALIDAD AGUASCALIENTES",2017-06-01,"VIOLACIÓN EQUIPARADA",2018-01-04,NA,NA,2018-01-04,2018-03-14,2018-03-21,"Condenatoria","SI",2018-04-11,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2017,217,NA,NA,0,69,7,NA,NA,NA,NA,NA,21,NA,NA,293
6,NA,1,"ORALIDAD AGUASCALIENTES",2017-06-14,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,"SI",2017-07-07,"Vinculación a proceso","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,1,"ORALIDAD AGUASCALIENTES",2017-07-26,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,1,"ORALIDAD AGUASCALIENTES",2017-08-04,"VIOLACIÓN",2018-07-12,NA,NA,2018-07-12,2018-12-03,2018-12-10,"Condenatoria","SI",2018-07-17,"Auto apertura a juicio","Modifica","SI",2019-01-21,"Sentencia","Confirma",NA,NA,NA,NA,2017,342,NA,NA,0,144,7,NA,NA,NA,5,NA,NA,188,NA,493
9,NA,1,"ORALIDAD AGUASCALIENTES",2017-09-01,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,1,"ORALIDAD AGUASCALIENTES",2017-09-11,"VIOLACIÓN EQUIPARADA",2018-05-03,NA,2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,234,234,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,1,"ORALIDAD AGUASCALIENTES",2017-09-14,"VIOLACIÓN EQUIPARADA",NA,NA,2018-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,1,"ORALIDAD AGUASCALIENTES",2017-09-22,"VIOLACIÓN EQUIPARADA",2018-11-06,NA,NA,2018-11-06,2019-01-09,2019-01-16,"Absolutoria","SI",2019-02-07,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2017,410,NA,NA,0,64,7,NA,NA,NA,NA,NA,22,NA,NA,481
13,NA,1,"ORALIDAD AGUASCALIENTES",2017-09-25,"VIOLACIÓN EQUIPARADA",2018-04-27,NA,NA,2018-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,214,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,1,"ORALIDAD AGUASCALIENTES",2017-09-27,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,1,"ORALIDAD AGUASCALIENTES",2017-10-06,"VIOLENCIA FAMILIAR",2018-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,1,"ORALIDAD AGUASCALIENTES",2017-10-16,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,1,"ORALIDAD AGUASCALIENTES",2017-10-17,"VIOLENCIA FAMILIAR",2018-01-26,NA,2018-01-26,NA,NA,NA,NA,"SI",2017-10-23,"Vinculación a proceso","Sin materia",NA,NA,NA,NA,NA,NA,NA,NA,2017,101,101,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,1,"ORALIDAD AGUASCALIENTES",2017-10-23,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,1,"ORALIDAD AGUASCALIENTES",2017-11-06,"VIOLENCIA FAMILIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,1,"ORALIDAD AGUASCALIENTES",2017-11-13,"VIOLACIÓN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,1,"ORALIDAD AGUASCALIENTES",2017-11-13,"VIOLACIÓN EQUIPARADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,1,"ORALIDAD AGUASCALIENTES",2017-11-24,"VIOLENCIA FAMILIAR",2020-02-26,NA,2020-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,824,824,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,1,"ORALIDAD AGUASCALIENTES",2017-12-02,"VIOLACIÓN EQUIPARADA",2018-09-24,NA,NA,2018-09-24,2018-11-15,2018-11-28,"Condenatoria","SI",2018-12-10,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2017,296,NA,NA,0,52,13,NA,NA,NA,NA,NA,12,NA,NA,361
23,NA,1,"ORALIDAD AGUASCALIENTES",2017-12-20,"VIOLENCIA FAMILIAR",2018-09-03,NA,2018-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,257,257,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,1,"ORALIDAD AGUASCALIENTES",2017-12-22,"VIOLACIÓN",2018-07-16,NA,NA,2018-07-16,2018-09-20,2018-10-05,"Condenatoria","SI",2018-10-26,"Sentencia","Confirma",NA,NA,NA,NA,NA,NA,NA,NA,2017,206,NA,NA,0,66,15,NA,NA,NA,NA,NA,21,NA,NA,287
